y, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
90.685036, NaN, NaN, -3.978178, -1.504027, -14.986790, 0.651581, -37.878245, 16.213807, -3.965437, NaN, NaN, -5.067240, 16.357349, -2.183088, 4.270079, 1.176518, 12.804540, 8.968619, 14.348722, -23.451053, 7.591627, NaN, NaN, 14.395813, 17.939577, 3.989800, 17.215629, 4.861049, -5.372338, -3.433298, -14.242110, NaN, -9.647727, NaN, -10.194623, -0.125403, -2.934729, 4.004721, 4.009522, -11.811539, 17.085082, 4.341830, -15.265856, -8.269174, -8.563351, -18.109542, 0.200619, 2.406849, 7.023604, -20.322970, -2.431973, 9.579821, 9.650979, 10.034315, NaN, 3.373144, -6.084848, 15.117017, 16.031367, 4.275683, 16.488559, -3.485641, NaN, 5.937298, NaN, 12.059885, NaN, -25.590860, -20.268133, 10.942843, NaN, -7.782229, 10.990530, NaN, -10.070615, 19.766317, -7.456542, 5.663430, NaN, 6.465289, 5.632962, -6.022228, 3.310243, NaN, 11.764431, NaN, NaN, 11.539522, -4.391159, -1.973244, -7.032047, 6.319109, NaN, 26.197445, -9.913837, H, H, I, K, J
60.844445, 26.204958, 11.185962, -8.247602, -3.875866, -11.329702, 2.637900, -39.617497, NaN, -2.442164, 10.303557, NaN, -2.753905, 14.353799, -4.054586, NaN, 2.225996, 16.462360, 12.580002, 18.437320, -21.313403, 8.746604, NaN, 34.842302, 17.074722, 16.606554, NaN, 19.505930, 11.966433, -9.123613, -2.162552, -16.502475, -5.284308, NaN, -13.506145, -8.567521, -0.273323, -0.471106, 3.806340, 3.013070, -11.890188, 17.001309, 5.022242, -12.818796, -10.226194, -7.719751, -14.542325, -1.489023, 2.527811, 9.815911, -17.903051, -6.677016, 10.578860, 7.031409, 8.380048, 7.075720, 12.146237, -2.567744, 19.160873, 14.075657, 5.238363, 12.249144, -6.189262, 15.985200, 11.772048, 9.194833, 11.624411, 9.401263, -23.317376, -21.018755, 15.694128, 6.419304, -4.256122, NaN, -2.101694, -6.405620, 24.515844, -7.016495, NaN, 12.404325, 9.926227, 7.314768, -9.948181, -0.265632, 5.417056, 8.445011, 17.018570, 5.557939, 13.157792, -7.844489, -10.123605, -13.437474, NaN, -12.880342, 25.924603, -7.015803, K, H, J, G, G
18.062345, 18.560873, 11.355342, -9.370161, -3.745315, -16.292421, -1.831774, -37.584605, 14.411348, -2.376175, 12.057741, NaN, -10.399630, 11.294329, -6.991269, NaN, 2.919844, 9.537451, 10.751311, 10.921344, -24.478460, 3.906571, -2.987804, 35.580136, NaN, 9.807473, 1.396368, 15.811858, 7.974082, -5.634233, -4.542187, -16.139794, -10.970825, NaN, -17.403592, -9.228327, -3.501562, -6.676537, -1.388275, 4.630793, -12.079969, 9.734362, 1.493624, -13.167773, -13.769272, -11.928369, -18.987806, -4.317064, 1.797322, 4.006075, NaN, -8.777034, 10.085771, 6.254964, 7.252482, 2.508887, 2.122960, -4.179247, 10.475800, NaN, -0.172154, 11.538777, -9.710507, 8.909427, 5.193055, NaN, 12.350154, 9.506039, NaN, NaN, 7.170195, 0.161304, -8.376352, 10.705476, -2.387529, -13.475389, NaN, -6.973380, 5.986122, 8.879419, 2.375938, NaN, -11.137025, 4.703891, 7.369034, 6.985228, 17.340968, 3.405530, 15.074778, -5.894076, -8.448317, -12.291624, 2.664209, -15.803518, 24.293073, -14.795709, I, H, G, H, G
-8.139839, 31.896496, 10.069040, -9.484426, -1.512786, -11.421909, -5.649180, -42.830037, 18.403197, -7.791762, 7.182760, 1.002245, -8.711694, 10.713326, -6.360039, -4.135995, 5.130042, 11.658430, 9.995827, 13.096095, -25.714453, 10.381267, -0.815314, 29.405448, 9.605624, 16.889981, NaN, 13.905703, 9.316770, -8.414861, -5.659022, -14.673004, -4.543700, -14.942120, -18.911284, -14.626707, -0.041418, -6.588998, NaN, 2.020909, -7.513298, 16.540003, 7.116182, -15.308125, -12.277185, -10.353160, NaN, -1.816303, -2.784191, NaN, -25.979176, -8.779235, 10.435372, 4.759824, 2.712763, 0.823108, NaN, -7.260252, 17.411909, 14.031580, 4.485169, 13.216536, -3.142375, 16.708202, 9.835523, 7.296726, 10.539129, 6.181460, -21.761280, -23.969465, 14.976817, 9.551079, -5.240018, 4.412586, -4.637847, -8.696628, 25.231338, -11.766646, 1.996398, 10.490401, 10.864645, 9.092001, NaN, NaN, 9.810154, 7.386506, 15.076582, -5.620514, 15.391880, -9.492838, -6.712958, -13.253436, 5.004891, -13.879328, 25.954304, -9.365574, NaN, H, K, K, G
-4.994792, 25.400286, NaN, -3.600959, -2.615988, -15.455676, -4.950816, -39.932456, NaN, -7.341165, 9.933879, -2.596163, -7.288147, 14.454970, -7.534484, 0.303836, 1.959070, NaN, NaN, 8.606991, -24.482664, 11.799911, NaN, 31.906641, 10.200817, 10.161414, 1.721333, 11.285106, NaN, -10.383209, -7.081614, -15.188303, -8.224536, -16.158292, -16.267101, -12.124325, -0.089532, -7.974643, 1.130931, 0.363699, -12.384405, 12.961113, 2.318847, -15.621003, -14.527766, -6.461588, NaN, -4.206664, 1.705890, NaN, -24.316712, -8.941247, 10.582598, 9.948092, 4.765365, 0.097000, 3.999807, -9.337133, 11.130966, 9.970084, NaN, 14.965952, -6.158980, NaN, NaN, 6.599697, 5.197430, NaN, -28.852215, -28.392054, 7.770180, 2.084231, -6.376400, 10.568596, -7.823165, -7.532160, NaN, NaN, 4.281661, NaN, NaN, NaN, NaN, 3.222232, 11.864806, 3.374661, 14.987362, NaN, 12.455359, -7.290090, -5.815218, NaN, 5.101262, -16.938532, 22.611184, -17.240003, G, H, H, K, H
-71.946849, 20.182342, 11.442101, -15.848929, -5.433512, -18.470896, -3.772478, -39.311873, 10.820767, -8.019431, NaN, 0.066814, NaN, 7.530479, -14.171210, -6.135703, 0.412606, NaN, 6.547878, 9.182849, -24.985091, 3.231445, -3.140343, 30.698637, 8.032418, 14.161541, NaN, 12.457139, NaN, -12.904414, -12.194596, -19.432921, -11.324993, -17.353227, -21.910288, NaN, -3.490871, -7.840180, -5.654466, -1.422681, -16.767031, 8.836123, 1.816253, -17.062914, -13.534849, -14.909010, -23.361609, -6.869810, -5.345704, 6.537380, -27.735532, -10.413874, 7.274171, 3.087782, -0.357845, -0.849731, NaN, -8.626486, 16.093223, 10.730776, -1.127272, 8.451297, NaN, 12.072103, 5.373631, NaN, 5.196117, 0.451039, -29.907016, -24.770158, 11.429903, -0.720368, -7.642369, NaN, NaN, -7.721677, 20.901965, -13.195157, 0.502730, NaN, 4.601411, 5.948175, -11.886944, -1.398284, 3.997487, 3.992083, 16.969193, -6.232716, 9.012108, -7.861573, -10.787434, -19.022602, 0.099922, NaN, 18.770601, -17.890958, I, H, K, J, K
-43.252217, 21.581276, 9.983328, NaN, -0.190867, NaN, -3.746710, -36.937439, 12.199710, -6.301302, 7.643753, 0.469257, -7.692563, 8.246280, -7.697915, -8.090335, 1.383150, 6.561515, 10.496237, 11.268163, -25.705640, 10.508740, -0.782511, 29.059285, 10.968162, 11.205926, 1.157413, 17.282600, 4.015409, -9.069823, -7.930975, -19.950454, -4.520733, NaN, -22.454019, -14.049557, -2.908288, -8.330687, -0.270926, 2.304327, -16.619901, 14.068642, 0.635369, -14.372256, -13.170667, -11.018347, -21.013935, -3.248506, -3.749732, 6.170317, -22.925918, NaN, 11.153041, 4.102977, 0.791382, -2.261035, 1.577775, NaN, 14.582841, 13.742109, -0.142964, 11.119059, -6.790145, NaN, 5.061136, 3.986831, 7.846710, NaN, -31.326119, -26.653668, 9.398128, NaN, -9.436798, 11.988148, -6.518252, -12.472154, 18.199451, -13.204613, 2.588502, 2.864534, 5.046069, 5.192515, -10.826650, NaN, 5.456281, 5.405306, 17.198324, -2.905995, 9.947645, -6.545404, -7.462659, -14.268092, 3.398466, -16.317353, 21.948563, -17.629762, J, H, G, K, H
46.659819, 23.541431, 11.830937, NaN, -3.960168, NaN, -4.617966, -41.043839, 17.473770, -4.969147, 9.586601, 0.918031, NaN, 13.978737, -5.346505, -0.077270, NaN, 6.567618, 10.861979, 11.213266, -21.087134, 8.320932, 3.145802, NaN, 19.605493, 13.421735, 5.736299, NaN, 4.667288, -13.806130, -7.531933, -19.056748, -12.578076, -14.701428, -12.786859, -13.113643, -12.618479, -4.404027, 4.052742, -0.207870, -14.328073, 14.579658, 2.014704, NaN, -12.692778, -13.477590, -17.836631, NaN, 3.326500, 3.167580, -20.913793, -4.721554, NaN, 4.773366, 0.659710, -2.203575, 3.665843, -5.543542, 11.409367, 13.338651, 1.542837, 9.633080, -11.546657, NaN, 1.409127, 10.790470, 5.953585, 5.769814, -24.947440, -20.908371, 13.853573, NaN, -13.504243, 10.903722, -4.978253, -13.669164, 21.656765, NaN, 2.347496, 11.676762, 6.416308, 1.943635, NaN, -0.725082, 5.716560, 8.668872, 16.821261, 3.376022, 12.296482, -11.238445, -7.940693, NaN, 4.484645, -17.663410, 25.091233, -9.133498, NaN, H, H, J, J
-46.682309, 21.826025, 9.841068, -10.822232, -9.082918, -17.277498, -7.583377, -37.240807, 15.739363, -9.962687, 3.762719, -5.634103, NaN, 8.635480, -10.474837, -3.291254, 2.936311, 7.121915, 9.018410, NaN, -27.723331, 4.923991, -4.533751, 30.674629, 14.471062, 8.694717, -1.825148, 13.228094, 7.039929, -7.264496, NaN, -18.221925, -6.518487, -20.128148, -18.100898, -9.973992, NaN, -7.830689, -1.973680, -1.242236, NaN, 11.455865, NaN, -14.106408, -11.639665, -9.645362, -20.969301, NaN, 1.552771, 9.622299, -21.865241, -9.405300, 7.076957, 3.692350, -2.592129, 0.041120, 6.475891, -6.601561, NaN, 9.279141, -8.244538, 7.503830, -7.830376, 10.410711, 5.305855, 7.441389, 9.062685, 4.699399, -23.024487, -24.827795, NaN, NaN, -7.856195, 6.103943, -6.039261, NaN, 17.430840, -14.084644, 4.257159, 9.553287, 8.176995, 6.573620, NaN, 3.789983, 9.435684, 4.964604, 13.428976, -2.004616, 12.722996, -7.542747, -10.548269, NaN, NaN, -15.265148, 25.082441, -15.523372, J, H, H, I, K
59.962466, 27.634692, 15.437111, NaN, -4.582242, NaN, -2.733406, -39.461801, 17.791352, -6.403260, 9.720442, -0.736112, -8.705028, 15.805636, -5.663852, 0.476503, 4.941361, 13.628536, 14.558009, 17.145659, NaN, 11.032199, 4.299416, 30.845581, 18.920109, 13.907166, 2.726172, 16.167703, 10.725982, -10.772354, -4.091862, -14.404527, -4.618833, -16.398719, -13.881652, -10.982552, -4.501181, -6.074821, 1.353126, 2.288770, -9.584483, NaN, -0.396731, -17.899273, -7.844007, -6.206990, -15.391417, 0.014600, 2.054531, 12.366385, -20.477531, NaN, NaN, 8.222195, 5.978163, 1.172768, 6.088472, -2.039054, NaN, NaN, 0.955338, 14.306236, -6.245634, 14.127513, 9.199668, 8.092671, 13.851523, 3.128575, -22.652544, -24.973558, 15.967096, 4.840226, -5.299448, 10.580259, -0.057227, -7.860245, 23.039583, -9.529535, 7.402802, 11.598695, 8.358325, 10.192426, -10.654417, 1.027960, 8.765124, 7.041872, 20.818375, 5.897897, 16.569198, -5.254716, -7.842454, NaN, -0.836152, -14.136879, 24.855741, -12.738811, NaN, H, J, H, I
