x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
25.971128, 10.429886, -10.660376, -3.582531, NaN, NaN, -36.779939, NaN, -7.351115, NaN, 2.290006, -8.471974, 8.360543, -7.813339, -4.762331, NaN, 9.333386, 13.396463, 14.357324, -24.408208, NaN, NaN, 29.781450, 16.705277, NaN, 2.617893, 12.898311, 7.160430, NaN, -8.818527, -18.546060, -6.708628, -17.244872, -18.446801, -11.434041, -0.752683, -5.262629, 3.234983, 1.544592, -12.341382, 16.160405, -0.032741, -12.826544, -13.662283, -13.405294, NaN, -1.454735, -0.447753, NaN, -24.243392, -8.324964, 13.228632, 7.579878, 5.797042, NaN, 6.576300, -3.071725, 14.734647, 11.604008, 4.723128, 8.762806, -8.459287, 15.935807, 6.017540, 3.804941, 7.025166, 6.596293, -28.868321, -23.746351, NaN, 4.512118, -6.748583, 11.494376, -3.612859, -8.809174, 20.703294, -11.167302, 4.346355, 9.173725, 2.465646, 7.801368, -11.023363, 5.620952, 7.977350, 7.473821, 16.234111, 0.955800, 12.178847, -4.197584, NaN, -11.795808, 2.555591, NaN, 23.179880, -15.602604, G, H, G, J, NaN
25.758732, 11.887546, -9.844684, -1.581865, -16.918897, -4.046057, -45.243955, 13.571447, -9.491872, 9.277601, -0.342860, -11.828564, 9.431658, -9.273073, -2.654715, 3.957274, 11.874853, 10.210733, 15.464389, -23.579404, 8.268977, -3.357684, 32.081689, 10.197632, NaN, 2.944511, 13.729926, 8.259903, -10.227775, NaN, NaN, -10.989421, -21.531423, -20.295540, -13.474048, -4.825158, -10.415425, -4.063654, 0.525796, -20.336968, 5.488348, 0.800124, -17.200342, -10.325512, NaN, NaN, NaN, -4.796408, 8.722145, -23.838828, -10.225419, 9.702615, NaN, -0.933687, NaN, 4.864979, -6.052585, 9.823245, 11.100114, NaN, 10.299875, -11.034918, 8.846461, 2.841235, 6.272217, NaN, 2.220303, -26.267895, -28.107644, 9.364406, 2.488675, -9.982738, NaN, -3.870099, -9.643157, 17.279303, NaN, 6.907872, NaN, 6.785307, 9.636050, -12.592770, 3.212677, 8.734984, 8.404328, 15.797115, -3.739538, 12.707040, NaN, -10.002007, -13.024096, 3.842341, -16.125888, 20.753334, -12.107064, I, H, NaN, NaN, H
23.782500, 7.347982, NaN, -5.679517, -17.396745, -6.266300, NaN, NaN, -4.723122, 5.481726, NaN, -9.108466, 11.921448, -3.842418, 1.731723, 2.014699, 4.584286, 9.981285, NaN, -24.482874, 10.232385, 0.489121, 34.347874, 12.476101, 6.707654, -2.763328, 12.863957, 11.336869, -6.654216, -4.311245, NaN, -10.657415, -20.180813, -15.003370, -14.576241, -3.106532, -2.742728, 0.199752, -0.785302, -15.643146, 11.428994, 1.981774, NaN, -11.504351, -9.641629, NaN, NaN, -0.174213, 3.825037, -21.501923, NaN, 9.577066, NaN, 5.442259, 2.221315, 5.174554, -4.434969, 8.914081, NaN, NaN, 10.316576, NaN, 15.304043, 5.043591, 9.266497, 5.252796, 6.895299, -29.641330, NaN, NaN, 4.235961, -6.026419, 6.128666, -8.340161, -14.004936, 19.469459, -6.799746, 2.904539, 5.690086, 7.840088, 11.283451, -12.204986, NaN, 6.663826, 7.746142, 11.953515, 0.958841, 10.585280, -12.043615, -14.353216, -16.494321, NaN, -17.896117, 22.476679, -11.235097, NaN, H, NaN, H, K
19.074196, NaN, -11.174759, -10.383339, -18.526151, -4.435927, -42.421554, 14.394625, -7.643014, 9.247063, 0.132620, -13.190810, 10.360546, -10.445518, NaN, 1.663221, 10.746405, 9.164921, NaN, -24.264298, 2.653961, -3.147819, 33.107720, 13.905571, NaN, -0.919921, 10.471228, 9.147627, -8.972386, -7.848686, -16.919446, NaN, -16.412899, -17.542108, -9.296209, -4.891141, -6.529483, -1.001800, -3.296407, -16.042361, 10.112335, 1.599129, -14.154443, -9.108608, -14.623033, -16.611582, -2.363698, -3.591811, 6.341337, -21.248529, -10.636087, 7.715299, 4.164759, NaN, -1.164981, NaN, -4.997072, 10.780503, 11.012743, -1.037332, 12.987245, -9.282925, 8.202385, NaN, NaN, NaN, 0.480037, -25.717759, NaN, 8.444653, 4.505099, -12.092518, NaN, -0.801596, -10.372550, 16.344859, -10.928637, 2.189109, 10.217742, 10.379094, 8.981364, -13.792799, 5.083173, 3.538020, 9.137335, 16.010160, -4.400907, 14.336058, -10.964109, -10.100701, -15.797810, 1.072284, -22.433262, 22.744498, -14.742469, G, H, K, K, J
23.730968, NaN, -10.863462, -0.875571, -16.279798, -2.969740, -34.913373, 8.506439, -1.781169, NaN, 0.719187, -10.056234, 14.292442, -9.241275, -4.026783, 3.814940, 6.443441, 9.525007, 6.914132, -19.722562, 9.242689, 1.811643, 32.838218, 15.337219, 14.308435, 5.477608, 14.588487, 5.570531, NaN, -6.715149, -11.944842, NaN, -15.317634, -19.753444, -14.143062, -9.415135, -7.033036, -9.489325, -2.917916, -12.626152, NaN, 1.669058, NaN, NaN, -10.770890, -18.360783, NaN, 0.834574, 14.314476, -20.867128, -8.436574, 12.498737, 3.482810, 3.162830, -0.691037, 3.876271, NaN, 8.604153, 10.395532, NaN, 10.371175, -10.533177, NaN, 6.101087, 6.032741, 7.387426, 4.221014, -30.339370, -26.648931, 6.860200, NaN, -9.071140, 8.711747, -5.843484, -14.016076, 15.176194, NaN, NaN, 5.576542, 3.880978, 10.172100, -11.984621, 3.773951, 7.028054, 4.464148, 20.196197, NaN, 9.903168, -7.885529, -7.723675, -14.149051, 3.292523, -12.151728, 22.667303, NaN, H, H, J, H, G
20.443175, 7.665327, -14.003651, 0.622768, -21.050232, -4.294475, -42.571846, NaN, -10.204540, 4.865766, -1.609941, -7.596317, 12.272928, -11.643555, -5.171589, -2.477290, 9.655328, 10.414244, 8.095860, -29.093146, 5.197220, 3.978506, NaN, NaN, 13.553547, -0.445320, NaN, 7.184044, -15.074431, -2.067818, NaN, -9.208042, -17.971239, -19.380407, -16.571221, -1.750712, -9.796002, NaN, NaN, -16.757927, 6.602007, 5.600993, -16.672810, -17.565592, -8.511747, -20.883357, -5.192968, NaN, NaN, -19.309797, -15.580366, 12.479928, 0.114748, 3.871443, -3.393400, 3.784140, NaN, 11.361683, NaN, -1.832619, 5.511314, -13.010531, 10.262716, 2.277964, 4.485956, 10.146561, 6.275769, -28.762053, -24.778882, 8.964690, 0.133908, -11.379819, 5.208012, -7.222893, -11.890197, NaN, -13.277025, 4.290822, 5.227605, 0.356481, 3.112770, -15.694004, -2.151986, 1.401050, -2.368599, 13.454013, -3.200716, 6.637588, NaN, -8.781955, -14.179082, NaN, -14.906302, 21.643350, -19.853401, NaN, H, I, NaN, K
27.613190, 13.921730, -7.964547, -3.816758, NaN, -4.758103, -42.341540, 10.191709, -6.652751, 8.543644, -1.486691, -8.208105, 10.877551, -8.201516, 0.606285, NaN, NaN, 12.635184, 12.849544, -24.793141, 9.496857, 2.899965, 33.887608, 11.068210, 11.921467, -0.335950, 14.755986, 13.067012, -6.856709, -1.877084, -16.433025, -7.791595, -16.352063, -17.569411, -15.985488, -3.019317, -7.747136, NaN, 0.646270, -11.851846, 9.657953, 5.682290, -14.988148, -11.293033, -6.746036, -18.529425, NaN, 2.287758, 7.402167, -22.878360, -9.225474, NaN, 0.367107, 3.956494, -0.689970, 5.724830, -4.535773, 12.450797, NaN, -0.903553, NaN, NaN, 12.393894, 7.053757, 14.745918, 12.565338, NaN, -23.860990, -22.887050, NaN, NaN, -8.309950, 3.715426, -4.546667, -12.426364, 20.109878, -7.958362, 5.317450, 7.259409, 9.785410, 8.492030, NaN, 2.096434, 8.495948, 3.904688, NaN, -0.430346, 16.205677, -11.660619, -10.770820, -16.956683, 5.079394, NaN, NaN, -7.916519, H, H, G, J, G
22.143616, 8.230593, NaN, NaN, -15.049447, -3.550458, -37.859082, 14.164521, -8.282891, 4.818957, -6.416241, -8.368175, 6.770888, -8.028563, -1.569803, NaN, NaN, 9.310049, 12.231414, -26.698724, NaN, 2.426310, 30.983859, 13.598597, 6.083648, NaN, 9.598864, 8.163476, -10.913167, -3.918681, NaN, -6.392865, -22.425696, -17.044753, NaN, -1.396399, -5.561963, -2.260365, 3.028045, -11.779671, 10.207134, -2.629479, -15.739264, -14.344982, -10.397928, NaN, -2.386939, -4.853050, 2.210559, -24.133120, -7.432859, 7.736965, 3.717292, 2.879644, 2.545735, NaN, -4.861787, 8.616011, 8.776420, 0.785152, 11.357157, -8.942716, 13.123162, 5.380131, 2.011162, 9.401486, 5.905965, NaN, -30.477210, 6.091928, NaN, -10.646778, 6.864793, -7.782598, -12.757602, 18.960264, -10.569736, NaN, 7.115846, 4.504331, 3.387690, -13.395242, -3.362546, 2.092892, 6.883850, 15.715617, -0.777354, 12.451483, -7.873470, -13.259150, -17.654165, NaN, -18.964372, 22.733036, -16.273076, K, H, J, K, G
26.370163, 13.462235, -7.826219, -2.689945, -12.217726, 2.157378, -32.877481, 22.376954, 1.141774, 11.003554, -0.829636, -7.781384, 15.859384, -3.618431, -3.887435, 4.400965, 7.691188, NaN, 12.395690, -23.594412, 10.863490, -0.377365, NaN, 13.017061, 13.533427, 5.359739, NaN, NaN, -4.585935, -2.851313, NaN, -7.080751, -10.281013, -14.952471, -9.735191, 2.028993, -2.226398, -1.014458, NaN, -3.366267, NaN, 8.926505, NaN, -12.207029, -8.013598, -13.601026, 1.083779, 5.097170, 13.471574, -17.170854, -5.655339, NaN, 10.117893, 4.268621, 6.624524, 8.467431, NaN, 14.217547, 15.479852, 1.936439, 16.777568, -2.550039, 18.607217, 10.249502, 8.699334, 11.407644, 10.793951, -24.584506, NaN, 9.306745, 8.795561, -4.847466, 7.700291, 1.101093, -7.373475, 23.823487, -8.032683, 8.405297, 9.826334, 7.888655, 12.967508, -6.354581, NaN, 11.111989, 8.740979, 21.517352, 1.790702, 13.060293, NaN, -4.786763, -6.726537, NaN, -13.745210, 25.187034, NaN, I, NaN, J, G, J
28.035266, 11.156662, NaN, -1.473531, -14.808173, -3.173610, -33.676972, 20.940169, -2.158563, 8.337579, -1.041762, 1.304846, 14.593445, -2.318065, 6.713495, 4.706033, 13.474833, 16.361466, 16.081480, -22.283729, 13.126897, 5.966635, 34.713539, 8.949254, 10.520977, 5.144676, 15.935882, 10.981951, -7.730052, NaN, -19.472190, -6.480780, NaN, -13.150631, NaN, 2.615499, 4.619116, 2.429641, NaN, -11.095695, 11.652623, NaN, NaN, -10.254189, -9.423382, -16.432802, 4.354085, 2.978266, NaN, -20.741103, -8.082819, 9.228819, 10.498027, 6.112893, 9.442074, 10.504300, -1.552371, NaN, 11.088320, 6.545231, 6.854323, -3.478911, 22.292646, 6.226555, 8.030441, 8.020347, NaN, NaN, -22.401125, 12.215434, 7.295912, -2.149755, 7.336325, -6.313037, -4.782404, 23.313552, -7.823247, 5.815091, 10.604928, 11.713253, 12.309421, -9.359946, NaN, 9.333982, NaN, 18.012801, 6.793916, 8.905376, -3.974213, -12.177598, -14.524363, 8.332495, -17.084723, 21.035784, -5.867983, I, H, K, G, J
